{'idx': 1, 'akcja': 'wplata', 'kwota': 100.0, 'towar': 0, 'ilosc': 0, 'cena': 0}
{'idx': 2, 'akcja': 'wplata', 'kwota': 1000.0, 'towar': 0, 'ilosc': 0, 'cena': 0} 
{'idx': 3, 'akcja': 'wyplata', 'kwota': -121.0, 'towar': 0, 'ilosc': 0, 'cena': 0} 
{'idx': 4, 'akcja': 'kupno', 'kwota': 1500.0, 'towar': 'kot', 'ilosc': 3, 'cena': 500.0} 
{'idx': 5, 'akcja': 'kupno', 'kwota': 1500.0, 'towar': 'kot', 'ilosc': 3, 'cena': 500.0} 
{'idx': 6, 'akcja': 'kupno', 'kwota': 1500.0, 'towar': 'kot', 'ilosc': 3, 'cena': 500.0} 
{'idx': 7, 'akcja': 'kupno', 'kwota': 1500.0, 'towar': 'kot', 'ilosc': 3, 'cena': 500.0} 
{'idx': 8, 'akcja': 'kupno', 'kwota': 1500.0, 'towar': 'kot', 'ilosc': 3, 'cena': 500.0} 
{'idx': 9, 'akcja': 'sprzedaz', 'kwota': 1.0, 'towar': 'woda', 'ilosc': 1, 'cena': 1.0} 
{'idx': 10, 'akcja': 'kupno', 'kwota': 5000.0, 'towar': 'hulajnoga', 'ilosc': 20, 'cena': 250.0} 
{'idx': 11, 'akcja': 'sprzedaz', 'kwota': 250.0, 'towar': 'hulajnoga', 'ilosc': 1, 'cena': 250.0} 
{'idx': 12, 'akcja': 'sprzedaz', 'kwota': 250.0, 'towar': 'hulajnoga', 'ilosc': 1, 'cena': 250.0} 
{'idx': 13, 'akcja': 'kupno', 'kwota': 4000.0, 'towar': 'teczka', 'ilosc': 10, 'cena': 400.0} 
{'idx': 14, 'akcja': 'sprzedaz', 'kwota': 400.0, 'towar': 'teczka', 'ilosc': 1, 'cena': 400.0} 
{'idx': 15, 'akcja': 'sprzedaz', 'kwota': 400.0, 'towar': 'teczka', 'ilosc': 1, 'cena': 400.0} 
{'idx': 16, 'akcja': 'kupno', 'kwota': 2500.0, 'towar': 'skakanka', 'ilosc': 100, 'cena': 25.0} 
{'idx': 17, 'akcja': 'sprzedaz', 'kwota': 25.0, 'towar': 'skakanka', 'ilosc': 1, 'cena': 25.0} 
